Voltage,Current_Simulated,Current_Theory
0,0.185861,0
0.05,-0.022545,0.0260403
0.1,0.0337633,0.11989
0.15,0.0238619,0.458127
0.2,0.0449599,1.67714
0.25,0.0121318,6.0705
0.3,0.155921,21.9043
0.35,0.0176938,78.9696
0.4,0.0769172,284.634
0.45,0.13533,1025.86
