Voltage,Current_Simulated,Current_Theory
0,0,0
0.05,0,0.0859141
0.1,0,0.319453
0.15,0,0.954277
0.2,0,2.67991
0.25,0,7.37066
0.3,0,20.1214
0.35,0,54.7817
0.4,0,148.998
0.45,0,405.105
0.5,0,1101.27
0.55,0,2993.66
0.6,0,8137.71
